index,Year,Publisher,Global_Sales
0,1982,Activision,19.42
1,1987,Nintendo,183.97
2,1993,Nintendo,96.84
3,1995,Activision,1.33
4,1995,Electronic Arts,1.73
5,1995,Nintendo,230.09
6,1995,Ubisoft,0.12
7,1996,Electronic Arts,0.08
8,1998,Activision,36.63
9,1998,Electronic Arts,103.81
10,1998,Nintendo,129.95
11,1998,Sony Computer Entertainment,193.73
12,1998,Ubisoft,10.82
13,1999,Activision,0.1
14,1999,Ubisoft,0.2
15,2003,Activision,61.44
16,2003,Electronic Arts,100.6
17,2003,Nintendo,191.15
18,2003,Ubisoft,37.6
19,2004,Activision,85.59
20,2004,Electronic Arts,255.79
21,2004,Sony Computer Entertainment,172.8
22,2004,Ubisoft,33.95
23,2008,Activision,163.06
24,2008,Electronic Arts,205.99
25,2008,Nintendo,740.21
26,2008,Sony Computer Entertainment,54.09
27,2008,Ubisoft,176.59
28,2009,Activision,159.02
29,2009,Electronic Arts,181.04
30,2009,Ubisoft,81.59
31,2010,Activision,126.39
32,2010,Electronic Arts,168.71
33,2010,Sony Computer Entertainment,145.98
34,2010,Ubisoft,70.82000000000001
35,2013,Activision,8.81
36,2013,Electronic Arts,4.0
37,2013,Nintendo,214.35
38,2013,Ubisoft,10.09
39,2014,Activision,25.41
40,2014,Electronic Arts,33.25
41,2014,Sony Computer Entertainment,10.19
42,2014,Ubisoft,21.28
43,2015,Activision,40.26
44,2015,Electronic Arts,55.32
45,2015,Sony Computer Entertainment,30.71
46,2015,Ubisoft,31.66
